2025-08-21 15:24:59,725-DEBUG-root-25612::webapp_internal::check_screen_element|1255:: Checking screen element: "Atenção": False
2025-08-21 15:24:59,725-DEBUG-root-25612::webapp_internal::close_coin_screen|1385:: Closing coin screen!
2025-08-21 15:24:59,934-INFO-root-25612::webapp_internal::set_log_info|1582:: Getting log info
2025-08-21 15:24:59,935-INFO-root-25612::webapp_internal::SetLateralMenu|4138:: Navigating lateral menu: Ajuda > Sobre
2025-08-21 15:24:59,991-DEBUG-root-25612::webapp_internal::wait_element|7646:: Waiting for element
2025-08-21 15:25:00,093-DEBUG-root-25612::webapp_internal::wait_element|7676:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:00,313-INFO-root-25612::webapp_internal::SetLateralMenu|4157:: Menu item: "Ajuda"
2025-08-21 15:25:00,314-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:00,337-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 15:25:01,012-DEBUG-root-25612::webapp_internal::wait_element_timeout|7749:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:01,638-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:01,770-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 15:25:04,090-INFO-root-25612::webapp_internal::SetLateralMenu|4157:: Menu item: "Sobre"
2025-08-21 15:25:04,090-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:04,192-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 15:25:04,912-DEBUG-root-25612::webapp_internal::wait_element_timeout|7749:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:05,680-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:05,827-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 15:25:08,894-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:09,026-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 15:25:09,145-DEBUG-root-25612::webapp_internal::wait_element|7646:: Waiting for element
2025-08-21 15:25:09,231-DEBUG-root-25612::webapp_internal::wait_element|7676:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:09,510-INFO-root-25612::webapp_internal::SetButton|4398:: Clicking on Fechar
2025-08-21 15:25:09,510-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:09,643-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 15:25:09,966-DEBUG-root-25612::webapp_internal::wait_element_timeout|7749:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:10,103-DEBUG-root-25612::webapp_internal::SetButton|4435:: ***System Info*** Before Clicking on button:Fechar
2025-08-21 15:25:10,103-DEBUG-root-25612::psutil_info::system_info|5:: CPU USAGE: 41.3%
